last_name,first_name,birthdate,card_number,pin_hash,salt,balance
Kim,Sooyeon,1998-04-12,4539123498123456,8f2c9b1e5a7d4c0f3d9ab2c4f1a6d7b0,3fd92a1c,2450
Park,Junho,1995-11-23,4920183492341290,a71d93e5f8b2c4d09f3e1a67b2c9e501,9ab4c2f1,128
Choi,Mina,2001-06-03,4719238471239845,b9e213fa7c2d49b1f0a3c8e5d219af34,1e82d9ac,980
Lee,Hyunwoo,1993-02-17,4539129934128876,c8f1e023b4d97af12c3e58d1a9f0b234,d14c9e22,5020
Jung,Sarah,1999-10-30,4029384719283746,d1b94c2e3fa12b89e7c4a0f9d2b8e613,57fa10c4,311
Shin,Daehwan,1996-12-01,4482938475621093,efb1294c9d2a34b7f0e1d8c9a3b7e521,a9d03c55,782
Yoon,Eunji,2000-05-09,4539128765432211,a412f9b8d0e3c7a2b9e8d12c4f1a9e03,bc4119de,1425
Han,Seojin,1997-07-25,4912837465019283,f0d1c9b2e7a4f3c12b9a8e5d2c1f09a3,8fa10d92,240
Kang,Hana,1994-03-14,4530001928374612,c4a9b18e0f27d3a2f9c1b8e5d01a92cf,4d92ac11,9999
Cho,Inwoo,1992-09-11,4712003948571203,e1f29cd3b4a8f0c2d197e3b5a2c09f81,0af213bc,554
Baek,Nayeon,2003-02-02,4920394857123490,b2a3f1e7c9d0a84f3e1c2b59a7d4c102,93bfa210,127
Im,Seokjin,1990-08-15,4539123847561209,a4e7c9f2d1b0a3f89c5e2d1f0a93b2c1,7de14c00,200
Seo,Ahri,1998-01-28,4719384720193845,d9c4a1e2b3f0c7d81a2f4b9e0c1a3f52,cc98f012,730
Oh,Jaemin,1995-04-19,4029384756001293,f12a3c98b0d7e4c2a9f1b4e7c02d1a93,3ad922f1,3200
Moon,Yerim,1999-11-05,4539182736459081,a1c9e0d2f3a7b4c58d2190e3f1b2c4a8,8bcd3410,870
Joo,Hayul,2001-12-10,4920304857129083,f3d8b2c1a0e9c4d72e1f0b3a9d8c2145,1fa0c3b9,600
Nam,Kyungmin,1997-03-02,4530192837465003,c0e1d2f3b4a59687e1a2b3c4d5e6f7a8,aa10394e,102
Kwon,Minseo,2002-07-17,4719238475001283,e4c1f3a2b9d0a7c5f2b18d0c93f1a2e8,df4812b0,50
Hwang,Jisoo,1996-10-22,4539123847560001,f98c31a0b4e2d1c79a3b5f0e2c1d9a4f,2c91fae1,410
Ryu,Taehyung,1993-05-30,4029384756123901,a3bf9e21c4d08f1e2b7c93d1f0a4b2c9,0fbc219a,720
